,RMSE,RMSLE,R2_score,MAPE
base,494.97736709344235,0.500737817412223,0.9485133159630775,23.933996100106903
base_2123,500.06489615287256,0.3967414654266449,0.9505671661650452,26.108664075580755
t-1 t+1,460.0313247928195,0.36383210629212714,0.9555267313595508,21.59550081035727
waterlevel t-1 t+1,543.5476172333138,0.40209096941652517,0.9379131777241775,24.3847618578146
3 cluster,510.83020535054357,0.5127943313334055,0.945162533996307,25.55780806662199
4 cluster,522.7406771043911,0.4680136094750058,0.9425755516246005,26.236956796504945
5 cluster,487.5393374197993,0.4526064816309387,0.9500490714985963,25.992515934681016
6 cluster,484.11731966523666,0.38911630706483746,0.950747817489056,22.48821179199343
log,618.0471494432123,0.6214011522712742,0.9197273768111163,38.0366430837277
origin + log,533.7625206637255,0.49412544484747956,0.9401284652535118,24.731142666148855
x2,442.43208577902254,0.4521656772553188,0.9588644346912513,24.454464233920746
5cluster + x2,429.7805068714328,0.4031719171088081,0.9611833843507921,23.091997077378196
5cluster + t,466.1859923351965,0.4863395272762477,0.9543287729654026,25.82389562536957
5cluster + t + x2,448.48898881942563,0.3496864899470889,0.9577304319782167,26.11237476800009
t + x2,428.7633142763002,0.4818905398634075,0.9613669070959522,22.061222255928577
